Order_ID,Customer_Name,Gender,Category,Product,Quantity,Unit_Price,Discount,Order_Date,Sales_Channel,Region,Phone
1000.0,Riya,Female,Clothing,Jacket,1.0,199.0,10.0,2024-01-25,Wholesale,Unknown,9876543210
1001.0,Sam,Female,Groceries,Rice,4.0,499.0,0.0,2024-10-26,Retail,Unknown,Unknown
1002.0,Sam,Unknown,Electronics,Tablet,3.0,499.0,10.0,2024-01-02,Wholesale,South,9876543210
1003.0,John,Male,Electronics,Mobile,3.0,499.0,5.0,2024-03-27,Retail,East,9876543210
1004.0,John,Female,Clothing,Shirt,5.0,499.0,10.0,2024-08-30,Retail,West,Unknown
1005.0,Maria,Female,Clothing,Jacket,1.0,499.0,10.0,2024-03-13,Wholesale,North,9876543119
1006.0,Sam,Female,Groceries,Bananas,2.0,199.0,10.0,2024-09-16,Online,North,9876543210
1007.0,John,Male,Electronics,Tablet,3.0,499.0,5.0,2024-01-21,Wholesale,Unknown,919988776655
1008.0,Riya,Unknown,Furniture,Chair,4.0,199.0,5.0,2025-01-09,Online,Unknown,Unknown
1009.0,Ali,Male,Clothing,Shirt,3.0,499.0,10.0,2024-07-14,Unknown,West,Unknown
1010.0,Sam,Male,Electronics,Tablet,3.0,499.0,10.0,2024-02-27,Unknown,North,Unknown
1011.0,Wei,Female,Groceries,Bananas,5.0,1500.0,10.0,2024-03-19,Online,North,9876543119
1012.0,Asha,Unknown,Electronics,Tablet,3.0,499.0,10.0,2025-01-30,Online,East,Unknown
1013.0,Chen,Male,Electronics,Tablet,3.0,499.0,10.0,2025-04-10,Wholesale,Unknown,919988776655
1014.0,John,Female,Groceries,Bananas,3.0,499.0,5.0,2024-03-20,Retail,North,Unknown
1015.0,Ali,Female,Groceries,Bananas,5.0,199.0,10.0,2025-03-16,Retail,South,9876543210
1016.0,Emily,Female,Electronics,Mobile,1.0,199.0,5.0,2024-07-25,Retail,East,Unknown
1017.0,John,Female,Furniture,Sofa,1.0,499.0,10.0,2025-02-10,Wholesale,North,9876543210
1018.0,Sam,Unknown,Groceries,Apples,3.0,499.0,15.0,2025-02-26,Wholesale,North,9876543119
1019.0,Emily,Male,Groceries,Bananas,3.0,499.0,0.0,2024-11-11,Retail,South,9876543210
1020.0,Wei,Male,Groceries,Rice,3.0,999.0,10.0,2024-03-20,Retail,North,Unknown
